top - 01:40:12 up 2 min,  3 users,  load average: 0.33, 0.14, 0.05
Tasks: 195 total,   2 running, 193 sleeping,   0 stopped,   0 zombie
%Cpu(s): 33.3 us, 33.3 sy,  0.0 ni, 33.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   4050.4 total,   2808.6 free,    685.1 used,    624.0 buff/cache     
MiB Swap:    512.0 total,    512.0 free,      0.0 used.   3365.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
      9 root      20   0       0      0      0 I   0.3   0.0   0:00.03 kworker+
     18 root      20   0       0      0      0 I   0.3   0.0   0:00.02 rcu_pre+
     31 root      20   0       0      0      0 I   0.3   0.0   0:00.04 kworker+
     90 root       0 -20       0      0      0 I   0.3   0.0   0:00.12 kworker+
    304 root      20   0   99920  52064  50528 S   0.3   1.3   0:00.18 systemd+
    554 root      20   0   17888   6304   5280 S   0.3   0.2   0:00.10 systemd+
   1200 fcurrie   20   0   20288   9984   7936 S   0.3   0.2   0:00.09 systemd
   2222 fcurrie   20   0   11952   4736   2688 R   0.3   0.1   0:00.01 top
      1 root      20   0  169120  10864   7888 S   0.0   0.3   0:00.47 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     24 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
     26 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
     27 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     29 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
     32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     34 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
     36 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     38 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
     39 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
     40 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     41 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     45 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     46 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     47 root      20   0       0      0      0 I   0.0   0.0   0:00.10 kworker+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompac+
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompac+
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompac+
     52 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompac+
     53 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompac+
     54 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompac+
     55 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompac+
     56 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompac+
